ID,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
1,23.18,27.272,426,721.25,0.004792988,1
2,23.15,27.2675,429.5,714,0.004783441,1
3,23.15,27.245,426,713.5,0.004779464,1
4,23.15,27.2,426,708.25,0.004771509,1
5,23.1,27.2,426,704.5,0.004756993,1
6,23.1,27.2,419,701,0.004756993,1
7,23.1,27.2,419,701.6666667,0.004756993,1
8,23.1,27.2,419,699,0.004756993,1
9,23.1,27.2,419,689.3333333,0.004756993,1
10,23.075,27.175,419,688,0.004745351,1
11,23.075,27.15,419,690.25,0.004740952,1
12,23.1,27.1,419,691,0.004739371,1
13,23.1,27.16666667,419,683.5,0.004751119,1
14,23.05,27.15,419,687.5,0.004733732,1
15,23,27.125,419,686,0.004714942,1
16,23,27.125,418.5,680.5,0.004714942,1
17,23,27.2,0,681.5,0.004728078,0
18,22.945,27.29,0,685,0.004727951,0
19,22.945,27.39,0,685,0.004745408,0
20,22.89,27.39,0,689,0.004729506,0
21,22.89,27.39,0,689.5,0.004729506,0
22,22.89,27.39,0,689,0.004729506,0
23,22.89,27.445,0,691,0.004739076,0
24,22.89,27.5,0,688,0.004748645,0
25,22.89,27.5,0,689.5,0.004748645,0
26,22.79,27.445,0,689,0.004710224,0
27,22.79,27.5,0,685.6666667,0.004719735,0
28,22.79,27.5,0,687,0.004719735,0
29,22.79,27.5,0,688,0.004719735,0
30,22.745,27.5,0,670,0.004706776,0
31,22.7,27.46333333,0,668.6666667,0.004687543,0
32,22.7,27.5,0,670,0.004693849,0
33,22.7,27.5,0,667,0.004693849,0
34,22.66666667,27.42666667,0,664.5,0.004671708,0
35,22.7,27.6,0,670,0.004711047,0
36,22.6,27.42666667,0,670.3333333,0.004652699,0
37,22.6,27.39,0,672,0.004646433,0
38,22.6,27.35666667,0,658,0.004640736,0
39,22.6,27.445,0,660.5,0.004655833,0
40,22.6,27.42666667,0,658,0.004652699,0
41,22.6,27.445,0,655,0.004655833,0
42,22.6,27.445,0,654.25,0.004655833,0
43,22.6,27.39,0,648,0.004646433,0
44,22.5,27.32333333,0,648.6666667,0.004606763,0
45,22.5,27.445,0,646,0.004627429,0
46,22.5,27.5,0,646,0.004636772,0
47,22.5,27.445,0,641.5,0.004627429,0
48,22.39,27.29,0,639,0.004570212,0
49,22.5,27.5,0,640,0.004636772,0
50,22.39,27.34,0,630.5,0.004578647,0
51,22.39,27.35666667,0,629.3333333,0.004581459,0
52,22.39,27.5,0,632,0.004605641,0
53,22.39,27.5,0,636.5,0.004605641,0
54,22.39,27.5,0,627.5,0.004605641,0
55,22.39,27.39,0,626,0.004587082,0
56,22.39,27.5,0,625.5,0.004605641,0
57,22.34,27.39,0,623.5,0.00457305,0
58,22.39,27.46333333,0,624.6666667,0.004599455,0
59,22.39,27.39,0,622,0.004587082,0
60,22.29,27.39,0,621,0.004559056,0
61,22.34,27.39,0,626.5,0.00457305,0
62,22.29,27.39,0,622,0.004559056,0
63,22.39,27.39,0,620,0.004587082,0
64,22.29,27.39,0,621.5,0.004559056,0
65,22.29,27.35666667,0,616.3333333,0.004553467,0
66,22.29,27.34,0,609,0.004550673,0
67,22.29,27.39,0,614,0.004559056,0
68,22.29,27.34,0,613.5,0.004550673,0
69,22.29,27.34,0,611,0.004550673,0
70,22.29,27.39,0,612,0.004559056,0
71,22.29,27.29,0,608,0.00454229,0
72,22.29,27.29,0,605.5,0.00454229,0
73,22.2675,27.315,0,608.5,0.004540214,0
74,22.2,27.29,0,608.5,0.004517288,0
75,22.245,27.29,0,602.5,0.004529774,0
76,22.2,27.29,0,598,0.004517288,0
77,22.2,27.29,0,595,0.004517288,0
78,22.2,27.29,0,591,0.004517288,0
79,22.245,27.245,0,591,0.00452225,0
80,22.2,27.2,0,595,0.004502283,0
81,22.2,27.29,0,594.3333333,0.004517288,0
82,22.2,27.29,0,593.5,0.004517288,0
83,22.2,27.29,0,592,0.004517288,0
84,22.15,27.245,0,586.5,0.004495971,0
85,22.2,27.2,0,586,0.004502283,0
86,22.15,27.245,0,586,0.004495971,0
87,22.2,27.245,0,584.5,0.004509785,0
88,22.1,27.245,0,584.5,0.004482195,0
89,22.1,27.2,0,585.5,0.004474738,0
90,22.13333333,27.2,0,584.6666667,0.004483903,0
91,22.2,27.2,0,577,0.004502283,0
92,22.1,27.2,0,580,0.004474738,0
93,22.125,27.2,0,582,0.00448161,0
94,22.2,27.2,0,580,0.004502283,0
95,22.1,27.15,0,578,0.004466454,0
96,22.1,27.2,0,576.5,0.004474738,0
97,22.1,27.2,0,580,0.004474738,0
98,22.1,27.2,0,572.5,0.004474738,0
99,22.1,27.2,0,567,0.004474738,0
100,22.1,27.2,0,568,0.004474738,0
101,22.1,27.2,0,574.5,0.004474738,0
102,22.1,27.2,0,564.3333333,0.004474738,0
103,22.1,27.2,0,563,0.004474738,0
104,22.1,27.15,0,564.5,0.004466454,0
105,22.06666667,27.16666667,0,566.3333333,0.004460078,0
106,22.1,27.1,0,562,0.004458169,0
107,22,27.1,0,565.5,0.004430876,0
108,22,27.1,0,570,0.004430876,0
109,22.05,27.15,0,562,0.004452763,0
110,22,27.1,0,560,0.004430876,0
111,22,27.1,0,558,0.004430876,0
112,22,27.1,0,556,0.004430876,0
113,22,27.1,0,557,0.004430876,0
114,21.9175,27.1,0,556.5,0.004408469,0
115,21.945,27.1,0,557.5,0.004415927,0
116,21.92666667,27.1,0,555,0.004410954,0
117,21.89,27.1,0,555,0.004401023,0
118,21.89,27.1,0,553,0.004401023,0
119,21.89,27.1,0,549.5,0.004401023,0
120,21.89,27.1,0,548.5,0.004401023,0
121,21.89,27.1,0,551.5,0.004401023,0
122,21.89,27.1,0,548.5,0.004401023,0
123,21.89,27.1,0,548,0.004401023,0
124,21.89,27.1,0,547.5,0.004401023,0
125,21.89,27.1,0,553,0.004401023,0
126,21.84,27.1,0,547.5,0.004387512,0
127,21.85666667,27.1,0,548.6666667,0.004392012,0
128,21.79,27.1,0,540,0.004374038,0
129,21.79,27.1,0,538,0.004374038,0
130,21.79,27.1,0,542,0.004374038,0
131,21.79,27.1,0,542,0.004374038,0
132,21.79,27.1,0,538,0.004374038,0
133,21.79,27.1,0,537.6666667,0.004374038,0
134,21.79,27.1,0,537.5,0.004374038,0
135,21.79,27.1,0,536,0.004374038,0
136,21.745,27.1,0,534.5,0.004361943,0
137,21.7,27.1,0,532.5,0.004349877,0
138,21.76,27.1,0,530,0.004365971,0
139,21.745,27.05,0,529.5,0.004353839,0
140,21.79,27.05,0,531,0.004365912,0
141,21.73,27,0,533.3333333,0.004341725,0
142,21.745,27,0,531,0.004345735,0
143,21.745,27,0,529,0.004345735,0
144,21.745,27,0,528.5,0.004345735,0
145,21.7,27,0,525,0.004333714,0
146,21.7,27,0,528.5,0.004333714,0
147,21.7,27,0,530.5,0.004333714,0
148,21.7,26.89,0,528,0.004315936,0
149,21.7,26.89,0,526,0.004315936,0
150,21.7,26.89,0,530,0.004315936,0
151,21.7,26.89,0,533.3333333,0.004315936,0
152,21.7,26.89,0,529,0.004315936,0
153,21.7,26.89,0,528,0.004315936,0
154,21.7,26.89,0,526,0.004315936,0
155,21.7,26.89,0,526,0.004315936,0
156,21.7,26.79,0,521,0.004299774,0
157,21.7,26.79,0,518,0.004299774,0
158,21.7,26.79,0,515.5,0.004299774,0
159,21.7,26.79,0,520,0.004299774,0
160,21.7,26.7675,0,523.5,0.004296138,0
161,21.7,26.79,0,525.5,0.004299774,0
162,21.7,26.79,0,525.5,0.004299774,0
163,21.7,26.79,0,514,0.004299774,0
164,21.7,26.7,0,518,0.00428523,0
165,21.7,26.7,0,518,0.00428523,0
166,21.7,26.7,0,520,0.00428523,0
167,21.6,26.7,0,521,0.004258922,0
168,21.6,26.6,0,518,0.004242862,0
169,21.6,26.65,0,517,0.004250892,0
170,21.6,26.6,0,511.5,0.004242862,0
171,21.65,26.65,0,514,0.004264003,0
172,21.6,26.55,0,515.5,0.004234832,0
173,21.6,26.5,0,517,0.004226803,0
174,21.6,26.5,0,515,0.004226803,0
175,21.6,26.5,0,512,0.004226803,0
176,21.6,26.5,0,515,0.004226803,0
177,21.65,26.55,0,511,0.004247894,0
178,21.6,26.5,0,514,0.004226803,0
179,21.6,26.445,0,508,0.004217971,0
180,21.6,26.4725,0,509.75,0.004222387,0
181,21.6,26.445,0,508.75,0.004217971,0
182,21.6,26.445,0,508.5,0.004217971,0
183,21.6,26.39,0,507,0.004209139,0
184,21.6,26.39,0,507,0.004209139,0
185,21.6,26.39,0,503.5,0.004209139,0
186,21.6,26.39,0,504,0.004209139,0
187,21.6,26.39,0,504,0.004209139,0
188,21.575,26.315,0,500.5,0.004190637,0
189,21.6,26.29,0,500,0.004193082,0
190,21.6,26.29,0,503.5,0.004193082,0
191,21.55,26.245,0,503,0.004172982,0
192,21.55,26.245,0,502.5,0.004172982,0
193,21.5,26.2,0,502,0.004152962,0
194,21.56666667,26.2,0,502,0.004170059,0
195,21.5,26.2,0,502.5,0.004152962,0
196,21.5,26.2,0,497,0.004152962,0
197,21.5,26.15,0,501.5,0.004144984,0
198,21.5,26.15,0,504,0.004144984,0
199,21.5,26.1,0,501,0.004137006,0
200,21.5,26.1,0,493.75,0.004137006,0
201,21.5,26.1,0,500,0.004137006,0
202,21.5,26.1,0,504.5,0.004137006,0
203,21.5,26.05,0,504,0.004129028,0
204,21.5,26.1,0,501,0.004137006,0
205,21.5,26,0,499,0.00412105,0
206,21.5,26,0,502,0.00412105,0
207,21.5,26,0,503.5,0.00412105,0
208,21.5,26,0,500.6666667,0.00412105,0
209,21.5,26,0,493,0.00412105,0
210,21.5,26,0,492.5,0.00412105,0
211,21.5,26,0,493,0.00412105,0
