Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
21.76,31.13333333,437.3333333,1029.666667,0.005021011,1
21.79,31,437.3333333,1000,0.005008581,1
21.7675,31.1225,434,1003.75,0.005021569,1
21.7675,31.1225,439,1009.5,0.005021569,1
21.79,31.13333333,437.3333333,1005.666667,0.005030298,1
21.76,31.26,437.3333333,1014.333333,0.005041605,1
21.79,31.1975,434,1018.5,0.005040749,1
21.79,31.39333333,437.3333333,1018.666667,0.005072649,1
21.79,31.3175,434,1022,0.005060296,1
21.79,31.46333333,437.3333333,1027.333333,0.005084053,1
21.79,31.525,437.75,1047.75,0.005094099,1
21.79,31.575,441.75,1049,0.005102244,1
21.79,31.395,442,1061.5,0.005072921,1
21.79,31.3925,441.75,1049,0.005072514,1
21.79,31.5,441.5,1048,0.005090026,1
21.815,31.5,438,1049.25,0.005097869,1
21.815,31.4725,449.5,1051.25,0.005093382,1
21.89,31.6,449.5,1060.5,0.005137857,1
21.79,31.55,449.5,1059.5,0.005098172,1
21.82333333,31.73,447.6666667,1072,0.005138035,1
21.865,31.7225,449.5,1072.333333,0.005150007,1
21.89,31.745,449.5,1075.333333,0.005161628,1
21.89,31.7675,449.5,1087,0.005165317,1
21.89,31.7675,437.75,1083.25,0.005165317,1
21.89,31.79,442.6666667,1086.333333,0.005169006,1
21.89,31.79,437.3333333,1091,0.005169006,1
21.89,31.89,439,1100,0.005185401,1
21.89,31.89,444,1101,0.005185401,1
21.89,31.865,444,1107,0.005181302,1
21.89,31.79,444,1110,0.005169006,1
21.89,31.865,444,1101.75,0.005181302,1
21.89,31.73,444,1100,0.005159169,1
21.89,31.7225,444,1092.75,0.005157939,1
21.89,31.7,444,1092.5,0.00515425,1
21.89,31.695,436.5,1094,0.005153431,1
21.89,31.56666667,434,1085.666667,0.005132392,1
21.89,31.55,436.5,1047,0.00512966,0
21.89,31.36,434,1031,0.005098515,0
21.89,31.125,432.75,977.5,0.005059998,0
21.89,31.15,436.5,961.25,0.005064095,1
21.89,31.06333333,434,948,0.005049891,1
21.89,30.77,429,913.25,0.005001821,1
21.89,30.7675,432.75,882.5,0.005001412,1
21.89,30.945,429,884.5,0.005030499,1
21.89,30.7925,429,899,0.005005508,1
21.89,30.77,432.75,888.25,0.005001821,1
21.89,30.795,436.5,878.5,0.005005918,1
21.89,30.8175,429,891.25,0.005009605,1
