ID,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
1,21.76,31.13333333,437.3333333,1029.666667,0.005021011,1
2,21.79,31,437.3333333,1000,0.005008581,1
3,21.7675,31.1225,434,1003.75,0.005021569,1
4,21.7675,31.1225,439,1009.5,0.005021569,1
5,21.79,31.13333333,437.3333333,1005.666667,0.005030298,1
6,21.76,31.26,437.3333333,1014.333333,0.005041605,1
7,21.79,31.1975,434,1018.5,0.005040749,1
8,21.79,31.39333333,437.3333333,1018.666667,0.005072649,1
9,21.79,31.3175,434,1022,0.005060296,1
10,21.79,31.46333333,437.3333333,1027.333333,0.005084053,1
11,21.79,31.525,437.75,1047.75,0.005094099,1
12,21.79,31.575,441.75,1049,0.005102244,1
13,21.79,31.395,442,1061.5,0.005072921,1
14,21.79,31.3925,441.75,1049,0.005072514,1
15,21.79,31.5,441.5,1048,0.005090026,1
16,21.815,31.5,438,1049.25,0.005097869,1
17,21.815,31.4725,449.5,1051.25,0.005093382,1
18,21.89,31.6,449.5,1060.5,0.005137857,1
19,21.79,31.55,449.5,1059.5,0.005098172,1
20,21.82333333,31.73,447.6666667,1072,0.005138035,1
21,21.865,31.7225,449.5,1072.333333,0.005150007,1
22,21.89,31.745,449.5,1075.333333,0.005161628,1
23,21.89,31.7675,449.5,1087,0.005165317,1
24,21.89,31.7675,437.75,1083.25,0.005165317,1
25,21.89,31.79,442.6666667,1086.333333,0.005169006,1
26,21.89,31.79,437.3333333,1091,0.005169006,1
27,21.89,31.89,439,1100,0.005185401,1
28,21.89,31.89,444,1101,0.005185401,1
29,21.89,31.865,444,1107,0.005181302,1
30,21.89,31.79,444,1110,0.005169006,1
31,21.89,31.865,444,1101.75,0.005181302,1
32,21.89,31.73,444,1100,0.005159169,1
33,21.89,31.7225,444,1092.75,0.005157939,1
34,21.89,31.7,444,1092.5,0.00515425,1
35,21.89,31.695,436.5,1094,0.005153431,1
36,21.89,31.56666667,434,1085.666667,0.005132392,1
37,21.89,31.55,436.5,1047,0.00512966,0
38,21.89,31.36,434,1031,0.005098515,0
39,21.89,31.125,432.75,977.5,0.005059998,0
40,21.89,31.15,436.5,961.25,0.005064095,1
41,21.89,31.06333333,434,948,0.005049891,1
42,21.89,30.77,429,913.25,0.005001821,1
43,21.89,30.7675,432.75,882.5,0.005001412,1
44,21.89,30.945,429,884.5,0.005030499,1
45,21.89,30.7925,429,899,0.005005508,1
46,21.89,30.77,432.75,888.25,0.005001821,1
47,21.89,30.795,436.5,878.5,0.005005918,1
48,21.89,30.8175,429,891.25,0.005009605,1
49,21.89,30.65,436.5,896.5,0.004982159,1
50,21.89,30.7475,429,889.5,0.004998135,1
51,21.89,30.76333333,429,887.3333333,0.005000729,1
52,21.89,30.77,429,893.5,0.005001821,1
53,21.89,30.445,429,832.5,0.004948571,1
54,21.89,30.56666667,429,829,0.004968505,1
55,21.89,30.5,429,829.25,0.004957582,1
56,21.89,30.575,429,850.5,0.00496987,1
57,21.89,30.6,429,844,0.004973966,1
58,21.89,30.55,429,840.25,0.004965774,1
59,21.865,30.55,429,823.75,0.00495814,1
60,21.89,30.6,429,824,0.004973966,1
61,21.89,30.34,429,813,0.004931369,1
62,21.89,30.35666667,429,802,0.004934099,1
63,21.865,30.3925,429,810.75,0.004932375,1
64,21.89,30.35666667,429,805.3333333,0.004934099,1
65,21.89,30.315,429,796.5,0.004927273,1
66,21.89,30.2,429,795,0.004908434,1
67,21.89,30.34,429,793.5,0.004931369,1
68,21.89,30.295,429,790.5,0.004923997,1
69,21.89,30.29,429,786.5,0.004923177,1
70,21.89,30.39,429,794.3333333,0.00493956,1
71,21.89,30.365,429,795.5,0.004935464,1
72,21.89,30.42666667,414,792.6666667,0.004945567,1
73,21.89,30.73,424,798,0.004995267,1
74,21.89,30.4175,429,795.5,0.004944065,1
75,21.89,30.39,429,797.75,0.00493956,1
76,21.89,30.39,429,798,0.00493956,1
77,21.89,30.445,429,802,0.004948571,1
78,21.89,30.35666667,421.5,797.5,0.004934099,1
79,21.89,30.32333333,429,791.5,0.004928638,1
